duid,fy_start,fy_label,curtailment_pct,metric_version,generation_mwh,months_covered
BOCORWF1,2024,FY24-25,0.0145,2.0-proxy,319869.0,12
BOCORWF1,2025,FY25-26,0.0037,2.0-proxy,356087.0,12
BOCORWF1,2026,FY26-27,0.0,2.0-proxy,62576.0,2
BODWF1,2020,FY20-21,0.0055,2.0-proxy,97648.0,4
BODWF1,2021,FY21-22,0.0114,2.0-proxy,364645.0,12
BODWF1,2022,FY22-23,0.0101,2.0-proxy,332738.0,12
BODWF1,2023,FY23-24,0.0214,2.0-proxy,278292.0,12
BODWF1,2024,FY24-25,0.0266,2.0-proxy,270664.0,12
BODWF1,2025,FY25-26,0.0182,2.0-proxy,305181.0,12
BODWF1,2026,FY26-27,0.0,2.0-proxy,47089.0,2
BOMENSF1,2020,FY20-21,0.0033,2.0-proxy,56028.0,4
BOMENSF1,2021,FY21-22,0.0,2.0-proxy,205733.0,12
BOMENSF1,2022,FY22-23,0.0287,2.0-proxy,195394.0,12
BOMENSF1,2023,FY23-24,0.1449,2.0-proxy,174960.0,12
BOMENSF1,2024,FY24-25,0.1299,2.0-proxy,163175.0,12
BOMENSF1,2025,FY25-26,0.1043,2.0-proxy,157222.0,12
BOMENSF1,2026,FY26-27,0.0344,2.0-proxy,19624.0,2
BOWWPV1,2021,FY21-22,0.0716,2.0-proxy,190.0,4
BOWWPV1,2022,FY22-23,0.3144,2.0-proxy,4652.0,9
BOWWPV1,2023,FY23-24,0.2491,2.0-proxy,8187.0,10
BOWWPV1,2024,FY24-25,0.1844,2.0-proxy,11737.0,12
BOWWPV1,2025,FY25-26,0.2168,2.0-proxy,9148.0,12
BOWWPV1,2026,FY26-27,0.0498,2.0-proxy,1629.0,2
BRDDSF01,2025,FY25-26,0.1893,2.0-proxy,52380.0,6
BRDDSF01,2026,FY26-27,0.1436,2.0-proxy,60294.0,2
BROKENH1,2020,FY20-21,0.0741,2.0-proxy,34258.0,4
BROKENH1,2021,FY21-22,0.1011,2.0-proxy,108285.0,12
BROKENH1,2022,FY22-23,0.0769,2.0-proxy,100927.0,12
BROKENH1,2023,FY23-24,0.1211,2.0-proxy,105831.0,12
BROKENH1,2024,FY24-25,0.1569,2.0-proxy,91491.0,12
BROKENH1,2025,FY25-26,0.2455,2.0-proxy,77381.0,12
BROKENH1,2026,FY26-27,0.1297,2.0-proxy,14089.0,2
BRYB1WF1,2020,FY20-21,0.0376,2.0-proxy,151164.0,4
BRYB1WF1,2021,FY21-22,0.0123,2.0-proxy,613190.0,12
BRYB1WF1,2022,FY22-23,0.0342,2.0-proxy,538659.0,12
BRYB1WF1,2023,FY23-24,0.0459,2.0-proxy,485600.0,12
BRYB1WF1,2024,FY24-25,0.0325,2.0-proxy,549491.0,12
BRYB1WF1,2025,FY25-26,0.016,2.0-proxy,578925.0,12
BRYB1WF1,2026,FY26-27,0.0241,2.0-proxy,96901.0,2
BRYB2WF2,2022,FY22-23,0.071,2.0-proxy,80690.0,8
BRYB2WF2,2023,FY23-24,0.2282,2.0-proxy,226722.0,12
BRYB2WF2,2024,FY24-25,0.2029,2.0-proxy,271029.0,12
BRYB2WF2,2025,FY25-26,0.0827,2.0-proxy,337924.0,12
BRYB2WF2,2026,FY26-27,0.0387,2.0-proxy,58978.0,2
BULGANA1,2020,FY20-21,0.0167,2.0-proxy,126295.0,4
BULGANA1,2021,FY21-22,0.0525,2.0-proxy,513937.0,12
BULGANA1,2022,FY22-23,0.0926,2.0-proxy,491828.0,12
BULGANA1,2023,FY23-24,0.0355,2.0-proxy,497661.0,12
BULGANA1,2024,FY24-25,0.0293,2.0-proxy,402891.0,12
BULGANA1,2025,FY25-26,0.0119,2.0-proxy,351645.0,12
BULGANA1,2026,FY26-27,0.0166,2.0-proxy,68926.0,2
BUSF1,2025,FY25-26,0.0278,2.0-proxy,34198.0,4
BUSF1,2026,FY26-27,0.0564,2.0-proxy,21140.0,2
CATHROCK,2021,FY21-22,0.1158,2.0-proxy,68981.0,5
CATHROCK,2022,FY22-23,0.155,2.0-proxy,139515.0,12
CATHROCK,2023,FY23-24,0.1488,2.0-proxy,135722.0,12
CATHROCK,2024,FY24-25,0.0518,2.0-proxy,157563.0,12
CATHROCK,2025,FY25-26,0.0381,2.0-proxy,158627.0,12
CATHROCK,2026,FY26-27,0.0783,2.0-proxy,20711.0,2
CHILDSF1,2020,FY20-21,0.0073,2.0-proxy,32184.0,4
CHILDSF1,2021,FY21-22,0.0318,2.0-proxy,112707.0,12
CHILDSF1,2022,FY22-23,0.0137,2.0-proxy,105753.0,12
CHILDSF1,2023,FY23-24,0.0033,2.0-proxy,96895.0,12
CHILDSF1,2024,FY24-25,0.1229,2.0-proxy,91791.0,12
CHILDSF1,2025,FY25-26,0.3065,2.0-proxy,85029.0,12
CHILDSF1,2026,FY26-27,0.0701,2.0-proxy,15953.0,2
CHYTWF1,2020,FY20-21,0.0065,2.0-proxy,54643.0,4
CHYTWF1,2021,FY21-22,0.0322,2.0-proxy,174432.0,12
CHYTWF1,2022,FY22-23,0.0191,2.0-proxy,166104.0,12
CHYTWF1,2023,FY23-24,0.06,2.0-proxy,175804.0,12
CHYTWF1,2024,FY24-25,0.099,2.0-proxy,172914.0,12
CHYTWF1,2025,FY25-26,0.1302,2.0-proxy,158290.0,12
CHYTWF1,2026,FY26-27,0.041,2.0-proxy,24578.0,2
CLARESF1,2020,FY20-21,0.0141,2.0-proxy,62594.0,4
CLARESF1,2021,FY21-22,0.127,2.0-proxy,209204.0,12
CLARESF1,2022,FY22-23,0.1644,2.0-proxy,182042.0,12
CLARESF1,2023,FY23-24,0.3112,2.0-proxy,152108.0,12
